sunid	term	fdr	score
51696	3.1.4.11	0	0
51696	3	0	0
51696	3.1	0	0
51696	3.1.4	0	0
143077	3.6.4.12	0	0
143077	3	0	0
143077	2.7.7	0	0
143077	3.4.19.12	0	0
143077	2.7.7.48	0	0
143077	3.4	0	0
143077	3.4.22	0	0
143077	2	0.001669	0
143077	3.6.4	0	0
143077	3.6.4.13	0	0
143077	3.4.22.69	0	0
143077	3.4.19	0	0
143077	2.7	3.455e-11	0
143077	3.6	1.669e-05	0
81705	5.99.1.3	0	0
81705	5.99	0	0
81705	5.99.1	1	0
81705	5	0	0
54638	3.1.2	0	0
54638	3	0	0
54638	3.1	0	0
54638	3.1.2.28	0	0
53118	3.1.13.5	2.352e-10	0
53118	3.1.11	8.029e-05	0
53118	3.1.26	0.9952	0
53118	3.1.13	0	0
53118	2	0	0
53118	3.1.13.4	1.254e-08	0
53118	2.7.7.7	0	0
53118	2.7	0	0
53118	3.1.26.4	4.468e-08	0
53118	3.1.11.2	4.062e-07	0
53118	2.7.7	0	0
53118	3	0.01519	0
53118	3.1.11.1	4.003e-09	0
53118	3.1	0	0
50719	6	0	0
50719	6.1.1.18	0	0
50719	6.1.1.17	0	0
50719	6.1.1	0	0
50719	6.1	0	0
47091	3.5.1	5.326e-14	0
47091	3.5.1.28	0	0
47091	3.5	1.773e-05	0
47091	3	0	0
82191	1.13.11	0	0
82191	1	0	0
82191	1.13.11.54	0	0
82191	1.13.11.53	0	0
82191	1.13	0	0
52130	3	0	0
52130	3.4	0	0
52130	3.4.22	0	0
52130	3.4.22.56	3.169e-11	0
52130	3.4.22.36	2.548e-08	0
75176	5.3	0	0
75176	5.3.1.6	0	0
75176	5.3.1	0	0
75176	5	0	0
51599	2.5.1	1	0
51599	2.5.1.54	0	0
51599	2	0	0
51599	2.5.1.55	0	0
51599	2.5	0	0
52013	2.7.3	0	0
52013	2.7.3.9	0	0
52013	2.7	0	0
52013	2	0	0
56554	2.7.7.6	0	0
56554	2.7.7	0	0
56554	2.7	0	0
56554	2	0	0
53134	3.1.22	0	0
53134	3	0	0
53134	3.1	0	0
142881	3.6.4.12	0	0
142881	3	0	0
142881	2.7.7	0	0
142881	3.4.19.12	0	0
142881	2.7.7.48	0	0
142881	3.4	0	0
142881	3.4.22	0	0
142881	2	0	0
142881	3.6.4	0	0
142881	3.6.4.13	0	0
142881	3.6	0	0
142881	3.4.22.69	0	0
142881	2.7	0	0
142881	3.4.19	0	0
110091	4.2	0	0
110091	4	0	0
110091	4.2.2	0	0
110091	4.2.2.23	0	0
117157	2.3	0	0
117157	2	0	0
117157	2.3.1.48	0	0
117157	2.3.1	0	0
54417	1	0	0
54417	1.4.3.22	1.575e-06	0
54417	1.4.3.21	0	0
54417	1.4.3	0	0
54417	1.4	0	0
89572	6.4.1	1	0
89572	6.3.4	0.0553	0
89572	6.3.4.14	0	0
89572	6	0	0
89572	6.4	0	0
89572	6.4.1.2	7.302e-08	0
89572	6.3	1	0
48440	2.5.1.59	0	0
48440	2.5.1.58	0	0
48440	2.5.1.60	0	0
48440	2.5.1	1	0
48440	2	0	0
48440	2.5	0	0
48580	2.5.1.21	0	0
48580	2.5.1	1	0
48580	2	0	0
48580	2.5.1.32	0	0
48580	2.5	0	0
54378	1	0	0
54378	1.14.13	0	0
54378	1.14	0	0
53402	2.5.1.48	0	0
53402	4.4.1.8	8.9e-09	0
53402	2.5.1	1	0
53402	2	0	0
53402	2.6.1.44	9.622e-09	0
53402	3.7	0	0
53402	2.6	0	0
53402	4.4.1.16	0	0
53402	2.8.1.9	0	0
53402	4.4.1.1	2.843e-06	0
53402	2.5	1	0
53402	2.6.1	0	0
53402	4.4.1	1	0
53402	3	1	0
53402	2.8	0	0
53402	3.7.1	1	0
53402	3.7.1.3	0	0
53402	4	5.429e-05	0
53402	2.8.1.7	0	0
53402	2.6.1.51	6.574e-11	0
53402	2.6.1.37	0	0
53402	4.4	0	0
53402	2.8.1	0	0
54198	3.6.1.29	0	0
54198	3	3.609e-07	0
54198	3.6.1	0	0
54198	3.6	8.982e-13	0
143728	2.7.4.1	0	0
143728	2.7.4	0	0
143728	2.7	0	0
143728	2	0	0
64183	3.6.1.1	0	0
64183	3	0	0
64183	3.6.1	0	0
64183	3.6	0	0
56195	1.1.1.158	0	0
56195	1.1	0	0
56195	1	0	0
56195	1.1.1	0	0
75616	1.3	0	0
75616	1.3.1	0	0
75616	4.99	0	0
75616	2	0	0
75616	2.1.1.107	0	0
75616	4.99.1	1	0
75616	4	0	0
75616	1	0	0
75616	2.1.1	0	0
75616	1.3.1.76	0	0
75616	2.1	0	0
75616	4.99.1.4	0	0
56372	3.2.2	0	0
56372	3.2	0	0
56372	3	0	0
56372	3.2.2.22	0	0
52414	1.1.1.22	0	0
52414	1.1	0	0
52414	1	0	0
52414	1.1.1.132	1.653e-13	0
52414	1.1.1.n3	0	0
52414	1.1.1	0	0
52862	4.5	0	0
52862	1.8	1.046e-06	0
52862	5.3	0.3208	0
52862	2.5.1.18	0	0
52862	5.3.99	1.037e-15	0
52862	2.5.1	1	0
52862	2	0	0
52862	5.2.1.2	0	0
52862	1	1	0
52862	5.2	7.411e-06	0
52862	5.2.1	1	0
52862	2.5	0	0
52862	1.20	0	0
52862	1.8.5.1	0	0
52862	1.20.4.2	0	0
52862	1.8.5	0	0
52862	4	1	0
52862	1.20.4	0	0
52862	5	0.5668	0
53267	2.7.1.105	0	0
53267	3	3.089e-15	0
53267	3.1	0	0
53267	3.1.3.46	0	0
53267	2.7.1	0	0
53267	2.7	0	0
53267	2	9.506e-12	0
53267	3.1.3	0	0
52152	4.2	0.0003684	0
52152	1.3.1.9	4.035e-07	0
52152	2	0	0
52152	2.3.1.41	9.38e-15	0
52152	3.1.2.14	0	0
52152	2.3.1.85	1.121e-09	0
52152	1	0.01463	0
52152	2.3.1.86	4.963e-15	0
52152	2.3	0	0
52152	2.3.1.39	0	0
52152	1.3.1.10	7.651e-10	0
52152	2.3.1	0	0
52152	1.3	3.622e-10	0
52152	1.1	0.001653	0
52152	1.1.1.100	0	0
52152	3.1.2	0	0
52152	1.3.1	1.159e-13	0
52152	3	0.8323	0
52152	4.2.1.61	0	0
52152	4.2.1	2.833e-05	0
52152	4	0.04156	0
52152	2.3.1.38	0	0
52152	3.1	0.0005874	0
52152	1.1.1	0.0001025	0
55348	1.2.1.10	0	0
55348	1.2	0	0
55348	1.2.1.12	0	0
55348	1.2.1.13	0.0004479	0
55348	1	0	0
55348	1.2.1.59	1.149e-10	0
55348	1.2.1.72	2.469e-11	0
55348	1.2.1.11	3.578e-09	0
55348	1.2.1.38	0	0
55348	1.2.1	0	0
118090	6	0	0
118090	6.3.2	0	0
118090	6.3.2.2	0	0
118090	6.3	0	0
118090	6.3.2.3	1.919e-08	0
46930	3.6.4.12	0	0
46930	3	0	0
46930	3.6	0	0
46930	3.6.4	0	0
74864	1.8	0	0
74864	1	0	0
74864	1.8.1	0	0
74864	1.8.1.8	0	0
141840	2.5.1	1	0
141840	2.5.1.54	0	0
141840	2	0	0
141840	2.5	0	0
51622	2.7.1.40	0	0
51622	2.7.1	0	0
51622	2.7	0	0
51622	2	0	0
81623	3.2.2.23	0	0
81623	3.2.2	0	0
81623	3.2	0	0
81623	4.2	0	0
81623	3	0	0
81623	4.2.99	0	0
81623	4	0	0
81623	4.2.99.18	0	0
142484	2	0	0
142484	2.7.1.33	0	0
142484	2.7	0	0
142484	2.7.1	0	0
141942	5.3	0	0
141942	5.3.1.n2	0	0
141942	5.3.1	0	0
141942	5	0	0
57459	3.4.21.38	0	0
57459	3	0	0
57459	3.4.24	1.16e-11	0
57459	3.4.21	0.3704	0
57459	3.4	0	0
57459	3.4.24.24	1.74e-10	0
57459	3.4.24.35	1.74e-10	0
90124	3.6.3.49	0	0
90124	3.6.3	0	0
90124	3	0	0
90124	3.6.3.44	0	0
90124	3.6	0	0
90124	3.6.3.43	5.205e-16	0
90124	3.6.3.42	0	0
48132	1.11	0	0
48132	1.11.1	1	0
48132	1	0	0
48132	1.13	0.003667	0
48132	1.14	1.48e-09	0
48132	1.6.3	0	0
48132	1.13.11	5.416e-08	0
48132	1.11.1.7	4.349e-12	0
48132	1.11.1.8	2.05e-09	0
48132	1.14.99.1	0	0
48132	1.6	0.007541	0
48132	1.14.99	0	0
69573	2.7.7.80	0	0
69573	2.7.7	0	0
69573	2.8	0	0
69573	2.7	0	0
69573	2	0	0
69573	2.8.1.11	0	0
69573	2.8.1	0	0
82186	2.1.1	2.936e-05	0
82186	2.1.1.43	4.555e-14	0
82186	2	0	0
82186	2.7.1	1.184e-13	0
82186	2.7	0.02713	0
82186	2.1	0.05576	0
82186	2.7.1.68	0	0
55812	3.6.1.52	0	0
55812	3.6.1.13	0	0
55812	3	0	0
55812	3.6.1	0	0
55812	3.6.1.55	0	0
55812	3.6.1.17	5.644e-07	0
55812	3.6	0	0
142183	3.1.3.5	0	0
142183	3	0	0
142183	3.1	0	0
142183	3.1.3	0	0
51646	2.3.3	0	0
51646	2.3	0	0
51646	2.3.3.9	0	0
51646	2	0	0
48623	3.1.1	0	0
48623	3.1.1.4	0	0
48623	3	0	0
48623	3.1	0	0
48318	3.1.3.2	0	0
48318	3	0	0
48318	3.1	0	0
48318	3.1.3	0	0
56038	6	0	0
56038	6.1.1.20	0	0
56038	6.1.1	0	0
56038	6.1	0	0
52769	3.5.3	0	0
52769	3.5.3.8	0	0
52769	3.5	0	0
52769	3	0	0
52769	3.5.3.11	1.771e-12	0
52769	3.5.3.1	7.661e-12	0
53542	3.1.2	0	0
53542	3	0	0
53542	3.1	0	0
53542	3.1.2.22	0	0
56096	6	0	0
56096	6.5.1	1	0
56096	6.5	0	0
56096	6.5.1.2	0	0
81284	3.6.1.15	0	0
81284	3.4	0	0
81284	2.1.1.57	0	0
81284	3.6.1	0	0
81284	2	1.452e-05	0
81284	3.6.4	0	0
81284	3.6.4.13	0	0
81284	2.1.1.56	0	0
81284	2.7	0	0
81284	3.6	5.71e-10	0
81284	3.4.21.90	0	0
81284	2.7.7	0	0
81284	3	0	0
81284	2.7.7.48	0	0
81284	3.4.21	0	0
81284	3.4.21.91	0	0
81284	2.1.1	0	0
81284	2.1	0	0
82497	3.4.14	0	0
82497	3	0	0
82497	3.4	0	0
82497	3.4.14.5	0	0
111322	2.7.1.33	0	0
111322	2.7.1	0	0
111322	2.7	0	0
111322	2	0	0
56307	3.1.3.5	1.557e-10	0
56307	3.1.3.6	1.668e-07	0
56307	3	0	0
56307	3.6.1	1.183e-11	0
56307	3.1.4.16	0	0
56307	3.1	1.597e-10	0
56307	3.6.1.45	1.676e-13	0
56307	3.1.4	3.482e-05	0
56307	3.6	0.1653	0
56307	3.1.3	0	0
47460	2.3	0	0
47460	2	0	0
47460	2.3.1.48	0	0
47460	2.3.1	0	0
51723	2.1.1	0	0
51723	2.1	0	0
51723	2	0	0
51723	2.1.1.13	0	0
52950	3.4.11.1	0	0
52950	3.4.11	0	0
52950	3	0	0
52950	3.4.11.10	0	0
52950	3.4	0	0
103512	4.99.1	1	0
103512	4	0	0
103512	4.99.1.1	0	0
103512	4.99	0	0
55209	4.2.3	0	0
55209	2.7.1.71	0	0
55209	4.2	0.354	0
55209	1.1.1.25	0	0
55209	2.5.1	1	0
55209	2	0	0
55209	1	1	0
55209	2.5.1.19	0	0
55209	2.7	1	0
55209	2.5	0	0
55209	1.1	0.004542	0
55209	4.2.3.4	0	0
55209	4.2.1	0.004664	0
55209	4.2.1.10	0	0
55209	4	1	0
55209	2.5.1.7	0	0
55209	2.7.1	3.409e-05	0
55209	1.1.1	0.001654	0
51121	3.4.24	0	0
51121	3	2.508e-09	0
51121	3.4.24.40	0	0
51121	3.4	1.261e-09	0
103366	6	0	0
103366	6.5.1.3	0	0
103366	6.5.1	1	0
103366	6.5	0	0
47196	3.4.22.45	0	0
47196	3	0	0
47196	3.4	0	0
47196	3.4.22	0	0
52641	2.7.11.1	9.639e-12	0
52641	2.7.11	8.303e-11	0
52641	2	0	0
52641	2.7	0.009177	0
101884	3.2.1.26	0	0
101884	3.2	0	0
101884	3.2.1.153	3.692e-13	0
101884	3.2.1	0	0
101884	3	0	0
103214	3.6.1.22	0	0
103214	3	0	0
103214	3.6.1	0	0
103214	3.6	0	0
50616	3.6.3	0	0
50616	3	0	0
50616	3.6.3.14	0	0
50616	3.6	0	0
64311	2.7.7.6	0	0
64311	2.7.7	0	0
64311	2.7	0	0
64311	2	0	0
117301	3.2	0	0
117301	3.2.1	0	0
117301	3	0	0
117301	3.2.1.23	0	0
101913	2.7.10.1	0	0
101913	2.7.10	0	0
101913	2.7	0	0
101913	2	0	0
53099	3.1.26	0	0
53099	3.1.13	5.133e-15	0
53099	3.4	1	0
53099	2	1	0
53099	3.4.23.47	2.181e-05	0
53099	2.7.7.7	0	0
53099	3.1.26.13	3.089e-10	0
53099	2.7	1	0
53099	3.1.13.2	0	0
53099	3.1.26.4	0	0
53099	3.4.23	0	0
53099	3	0	0
53099	2.7.7	1.101e-12	0
53099	2.7.7.49	0	0
53099	3.1	0	0
53099	3.4.23.16	0	0
51751	1.1.1.219	6.816e-13	0
51751	2.3.1.41	1.536e-13	0
51751	1.1.1.63	2.413e-11	0
51751	2.3.1.85	5.635e-12	0
51751	1.1.1.36	6.154e-07	0
51751	1.1.1.170	3.575e-09	0
51751	4.1	1	0
51751	1.3.1.10	4.149e-06	0
51751	1.1	0	0
51751	3.1.2	0.01624	0
51751	1.1.1.189	5.327e-08	0
51751	5.1	0	0
51751	2.1.2.13	0	0
51751	1.3.1.34	1.047e-08	0
51751	1.5	0.9531	0
51751	2.1	0.2912	0
51751	2.1.2	0	0
51751	5.3	1	0
51751	1.3.1.9	0	0
51751	5.3.3.1	0	0
51751	4.2.1.47	0	0
51751	1.1.1.305	0	0
51751	1.1.1.178	3.437e-06	0
51751	1.1.1.102	1.226e-13	0
51751	2.3.1.39	6.016e-08	0
51751	1.1.1.271	1.162e-10	0
51751	1.1.1.304	3.437e-06	0
51751	1.5.1.34	2.541e-10	0
51751	1.1.1.1	0	0
51751	1.1.1.100	0	0
51751	1.1.1.133	1.986e-08	0
51751	1.1.1.141	6.154e-07	0
51751	4.1.1.35	1.09e-14	0
51751	1.1.1.197	1.986e-08	0
51751	1.1.1.105	6.441e-10	0
51751	3.1	1	0
51751	2	1	0
51751	1.1.1.146	1.986e-08	0
51751	1	0	0
51751	2.3	0.8807	0
51751	4.1.1	1	0
51751	2.3.1	0.4637	0
51751	1.5.1.3	3.467e-08	0
51751	4.2.1.119	4.286e-14	0
51751	1.3	9.433e-14	0
51751	5.3.3	2.579e-15	0
51751	5.1.3.20	0	0
51751	2.3.1.38	4.633e-11	0
51751	1.1.1.300	1.226e-13	0
51751	1.3.1.33	1.107e-11	0
51751	5.1.3.2	1.62e-13	0
51751	1.1.1.47	0.0001761	0
51751	4.2	0.1661	0
51751	1.1.1.145	0	0
51751	3.1.2.14	1.359e-10	0
51751	1.1.1.270	9.524e-06	0
51751	5.1.3	0	0
51751	1.1.1.10	3.575e-09	0
51751	1.3.1.87	4.056e-09	0
51751	4.2.1.46	0	0
51751	1.3.1.56	5.592e-06	0
51751	1.1.1.184	0	0
51751	1.1.1.153	1.986e-08	0
51751	1.3.1	0	0
51751	3	1	0
51751	4.2.1.61	4.285e-10	0
51751	4.2.1	0.001489	0
51751	1.5.1	4.136e-09	0
51751	1.1.1.62	0	0
51751	4	1	0
51751	1.1.1.30	1.226e-13	0
51751	5	0	0
51751	1.1.1	0	0
53763	5.1.3	0	0
53763	5.1.3.14	0	0
53763	5.1	0	0
53763	5	0	0
47385	2.7	0	0
47385	2	0	0
47385	2.7.13	0	0
90087	3.1.3.11	0	0
90087	3.1.3.37	0	0
90087	3	0	0
90087	3.1	0	0
90087	3.1.3	0	0
52778	2.3.1.61	0	0
52778	4.1.1.71	0	0
52778	2	0	0
52778	4	0.8544	0
52778	2.3	0	0
52778	2.3.1.12	0	0
52778	2.3.1.28	0	0
52778	2.3.1.168	3.675e-10	0
52778	4.1	0.006406	0
52778	2.3.1	0	0
52778	4.1.1	0.0005833	0
56530	4.2	0.1648	0
56530	4.3.2.3	0	0
56530	4.3	0.0009401	0
56530	3.7	0	0
56530	4.2.1.80	0	0
56530	4.1	1	0
56530	3.7.1.2	2.675e-07	0
56530	4.1.1	0.0001102	0
56530	3	0.1978	0
56530	3.7.1.5	2.675e-07	0
56530	4.2.1	0	0
56530	4.3.2	1.339e-11	0
56530	3.7.1	1	0
56530	4	0	0
53577	3.1.1.32	0	0
53577	3.1.1	0	0
53577	3.1.1.3	0	0
53577	3.1.1.26	8.604e-10	0
53577	3	0	0
53577	3.1	0	0
53577	3.1.1.34	1.746e-16	0
102589	3.5.1	0	0
102589	3.5.1.89	2.402e-11	0
102589	3.5.1.103	0	0
102589	3.5	0	0
102589	3	0	0
54827	4.2	0	0
54827	5.5.1.1	4.55e-08	0
54827	4.2.1	0	0
54827	4.2.1.11	0	0
54827	5.5.1	1	0
54827	4	0	0
54827	5.5	4.203e-07	0
54827	4.2.1.6	1.497e-14	0
54827	5.5.1.7	1.559e-08	0
54827	4.2.1.90	0	0
54827	4.2.1.113	0	0
54827	5	1	0
102560	2.7.7.50	0	0
102560	2.1.1	0	0
102560	2.7.7	0.02402	0
102560	2.1.1.56	0	0
102560	2.1	0	0
102560	2	0	0
102560	2.7	1	0
69565	4.1.1.28	0	0
69565	4.1.1.25	0	0
69565	4	0	0
69565	4.1.2	0.7562	0
69565	4.1.1.22	4.527e-08	0
69565	4.1	0	0
69565	4.1.1.15	0	0
69565	4.1.2.27	0	0
69565	4.1.1	3.81e-06	0
74933	3.4.21.108	0	0
74933	3.4.21.107	0	0
74933	3	0	0
74933	3.4.21	0	0
74933	3.4	0	0
81659	3.6.3.12	0	0
81659	3.6.3	0	0
81659	3.6.3.8	0	0
81659	3	0	0
81659	3.6.3.10	1.005e-13	0
81659	3.6.3.1	0	0
81659	3.6.3.9	0	0
81659	3.6	0	0
56602	3.4.16.4	0	0
56602	2.4	0.0004205	0
56602	3.4.11	0.0002041	0
56602	3.4.11.19	0	0
56602	3	0	0
56602	3.4.16	3.75e-14	0
56602	3.5.2	0	0
56602	2.4.1	2.196e-09	0
56602	3.4	0.3536	0
56602	2.4.1.129	0	0
56602	2	1	0
56602	3.5	0	0
56602	3.5.2.6	0	0
51560	3.5.1.5	0	0
51560	3.5.1	0	0
51560	3.5	0	0
51560	3	0	0
54369	6	0	0
54369	4	0.9333	0
54369	6.3.1	0	0
54369	6.3.1.2	0	0
54369	4.1.1.15	0	0
54369	6.3	0	0
54369	4.1	0.004793	0
54369	4.1.1	0.0002973	0
75297	2.7.2.8	0	0
75297	2.7.2	0	0
75297	2.3.1.1	0	0
75297	2	0	0
75297	2.3	0.7045	0
75297	2.7	0	0
75297	2.3.1	7.713e-14	0
81656	3.6.3.12	0	0
81656	3.6.3	0	0
81656	3.6.3.8	0	0
81656	3	0	0
81656	3.6.3.5	9.911e-10	0
81656	3.6.3.6	0	0
81656	3.6.3.10	4.549e-11	0
81656	3.6.3.4	0	0
81656	3.6.3.n1	4.109e-15	0
81656	3.6.3.9	0	0
81656	3.6	0	0
81656	3.6.3.3	4.434e-13	0
90046	4.1.1.19	0	0
90046	4	0	0
90046	4.1	0	0
90046	4.1.1	0	0
54050	3	0	0
54050	3.4.19.12	0	0
54050	3.4	0	0
54050	3.4.19	0	0
103244	2.7.11.1	0	0
103244	2.7.11	0	0
103244	2.7.11.26	2.027e-08	0
103244	2.7	0	0
103244	2	0	0
47134	2.7.7	0	0
47134	2.7.7.7	0	0
47134	2.7	0	0
47134	2	0	0
54905	3	0	0
54905	3.4.21	0	0
54905	3.4	0	0
54905	3.4.21.62	5.61e-12	0
54905	3.4.21.63	1.037e-15	0
46967	2.7.11.1	0	0
46967	2.7.11	0	0
46967	2.7	0	0
46967	2	0	0
53987	3.2	0	0
53987	3.2.1	0	0
53987	3	0	0
53987	3.2.1.17	0	0
88749	4.1.1.1	0	0
88749	2	0	0
88749	3.7	0	0
88749	2.2.1.6	1.381e-15	0
88749	2.2	0	0
88749	4.1	0	0
88749	4.1.1	1.112e-06	0
88749	3.7.1.n2	0	0
88749	3	1	0
88749	3.7.1	1	0
88749	2.2.1.9	0	0
88749	4	0.00207	0
88749	2.2.1	1	0
64147	2.7.1.146	0	0
64147	2.7.1.147	0	0
64147	2.7.1	0	0
64147	2.7	0	0
64147	2	0	0
64511	3.1.3.3	0	0
64511	3	0	0
64511	3.1	0	0
64511	3.1.3	0	0
56220	4.2	1.978e-12	0
56220	3.1.11.2	0	0
56220	3.1.11	1.571e-05	0
56220	3	0.0008857	0
56220	4.2.99	0	0
56220	4	3.44e-08	0
56220	4.2.99.18	0	0
56220	3.1.21	5.205e-16	0
56220	3.1.21.1	0	0
56220	3.1	4.773e-12	0
159794	2.4	0	0
159794	2.4.1.65	0	0
159794	2.4.1	0	0
159794	2	0	0
46935	3	2.545e-05	0
46935	3.4.19.12	0	0
46935	3.4	1.027e-06	0
46935	3.4.19	0	0
51147	3.1.1	0	0
51147	3	0	0
51147	3.1.1.11	0	0
51147	3.1	0	0
50259	3.6.4.12	0	0
50259	3	0	0
50259	3.6	0	0
50259	3.6.4	0	0
53620	2.7.1.50	0	0
53620	2.5.1.3	1.919e-08	0
53620	2.5.1	1	0
53620	2.7.1.49	0	0
53620	2	0	0
53620	2.7.4	1	0
53620	2.7.4.7	0	0
53620	2.7.1	0	0
53620	2.7	0	0
53620	2.5	1	0
55508	3.4.24	0	0
55508	3	0	0
55508	3.4.24.40	0	0
55508	3.4	0	0
101768	2.1.1.190	0	0
101768	2.1.1	0	0
101768	2.1	0	0
101768	2	0	0
69467	3.1.3.45	0	0
69467	2.7.7.43	0	0
69467	2.7.7	1.417e-06	0
69467	3	0.008166	0
69467	3.1	1.866e-06	0
69467	2.7	0.0009542	0
69467	2	0.09038	0
69467	3.1.3	4.881e-10	0
53272	2.4	0	0
53272	2	0	0
53272	2.4.2.9	0	0
53272	2.7	1	0
53272	2.4.2.14	4.787e-05	0
53272	2.4.2.7	0	0
53272	2.4.2.22	0	0
53272	2.4.2.8	7.505e-11	0
53272	2.4.2.10	0	0
53272	2.7.1.48	6.635e-06	0
53272	2.7.1	1	0
53272	2.4.2	0	0
82568	3	0	0
82568	3.4.19.12	0	0
82568	3.4	0	0
82568	3.4.19	0	0
82737	3.2	0	0
82737	3.2.1	0	0
82737	3	0	0
82737	3.2.1.139	0	0
143256	1	0	0
143256	1.5.5	0	0
143256	1.5	0	0
89734	1.1	0	0
89734	1	0	0
89734	1.1.1.130	0	0
89734	1.1.1	0	0
53509	3.4.11.5	0	0
53509	3.4.11	0	0
53509	3	0	0
53509	3.4	0	0
50325	3.6.1.1	0	0
50325	3	0	0
50325	3.6.1	0	0
50325	3.6	0	0
50790	3.4.21.97	0	0
50790	3	0	0
50790	3.4.21	0	0
50790	3.4	0	0
142988	1	0	0
142988	1.5.5	0	0
142988	1.5	0	0
56328	1.1	0	0
56328	1	0	0
56328	1.1.1.82	1.574e-07	0
56328	1.1.1.27	0	0
56328	1.1.1.37	0	0
56328	1.1.1	0	0
57757	3.1.26	0	0
57757	3.1.13	0	0
57757	3.4	0	0
57757	2	0	0
57757	3.6.4	1.143e-05	0
57757	3.6.4.13	0.0001274	0
57757	3.4.23.47	3.731e-05	0
57757	2.7.7.7	0	0
57757	2.7	0	0
57757	3.1.26.13	0	0
57757	3.6	1	0
57757	3.1.13.2	0	0
57757	3.4.23	0	0
57757	2.7.7	0	0
57757	3	0	0
57757	2.7.7.49	0	0
57757	3.1	0	0
57757	3.4.23.16	0	0
111022	3.4.13.22	0	0
111022	3.4.13	0	0
111022	3	0	0
111022	3.4	0	0
102566	2.1.1	0	0
102566	2.1.1.67	0	0
102566	2.1	0	0
102566	2	0	0
82830	6.3.4	0	0
82830	6	0	0
82830	6.3.4.19	0	0
82830	6.3	0	0
55847	3.2	0.01488	0
55847	3.5.1	0	0
55847	3.5.1.28	0	0
55847	3.5	0	0
55847	3	0	0
55847	3.2.1	3.152e-09	0
55847	3.2.1.96	0	0
49900	2.7.11.1	0	0
49900	2.7.11	0	0
49900	2.7	0	0
49900	2	0	0
54691	2.8.1.12	0	0
54691	2.8	0	0
54691	2	0	0
54691	2.8.1	0	0
50490	3.2.2.21	0	0
50490	3.2.2	0	0
50490	3.2	0	0
50490	3	0	0
64418	2.7.8.7	0	0
64418	2	0	0
64418	2.7	0	0
64418	2.7.8	0	0
48601	4.2	0	0
48601	5.4.99.5	0	0
48601	5.4.99	0	0
48601	4.2.1	0	0
48601	4	0	0
48601	5.4	1.039e-13	0
48601	4.2.1.51	0	0
48601	5	8.732e-10	0
110773	3	0	0
110773	3.4.19.12	0	0
110773	3.4	0	0
110773	3.4.19	0	0
142760	5.3	0	0
142760	5.3.1.4	0	0
142760	5.3.1	0	0
142760	5	0	0
50476	1.4.3.5	0	0
50476	1	0	0
50476	1.4.3	0	0
50476	1.4	0	0
55921	3.4.13.9	0	0
55921	3.4.11	0	0
55921	3	0	0
55921	3.4.11.9	0	0
55921	3.4	0	0
55921	3.4.11.18	0	0
55921	3.4.13	0	0
52729	2.7.1.69	0	0
52729	2.7.1	0	0
52729	2.7	0	0
52729	2	0	0
52194	2.7	0	0
52194	2	0	0
52194	2.7.13	0	0
53045	2.7.7	0	0
53045	2	6.981e-13	0
53045	2.7.7.7	0	0
53045	2.7	0	0
89554	3.2	1.167e-09	0
89554	3.2.1	1.732e-10	0
89554	3	0.0007895	0
89554	3.2.1.1	0	0
52452	6	0	0
52452	6.3.2.4	0	0
52452	6.3.2	0	0
52452	6.3	0	0
103502	1	0	0
57911	2.1.1.43	0	0
57911	1.14.11	0	0
57911	2	1.655e-11	0
57911	3.6.4	0.0002735	0
57911	1	0.4996	0
57911	2.3	1.956e-05	0
57911	1.14	7.451e-10	0
57911	3.6	0.07112	0
57911	2.3.1	7.186e-11	0
57911	3.6.4.12	1.117e-05	0
57911	1.14.11.27	0	0
57911	3	1	0
57911	2.3.1.48	0	0
57911	2.1.1	0	0
57911	2.1	3.076e-10	0
47006	2.3.1.12	0	0
47006	2.3	0	0
47006	2.3.1.61	0	0
47006	2	0	0
47006	2.3.1.168	8.107e-12	0
47006	2.3.1	0	0
111204	2.7.11.1	0	0
111204	2.7.11	0	0
111204	2.7	0	0
111204	2	0	0
103576	2.7.10.1	0	0
103576	2.7.10	0	0
103576	2.7	0	0
103576	2	0	0
55036	1.1.1.34	0	0
55036	1.1	0	0
55036	1	0	0
55036	1.1.1	0	0
55084	4.1.2.25	0	0
55084	2.7.6.3	0	0
55084	2.5.1.15	0	0
55084	2.7.6	0	0
55084	2.5.1	1	0
55084	2	0	0
55084	4	0.0368	0
55084	4.1.2	9.174e-11	0
55084	4.1	5.763e-05	0
55084	2.7	0	0
55084	2.5	0.0006195	0
101745	3.1.26.5	0	0
101745	3.1.26	0	0
101745	3	0	0
101745	3.1	0	0
117312	3.5.3	0	0
117312	3.5	0	0
117312	3	0	0
117312	3.5.3.19	0	0
55089	2.8.4	0	0
55089	2.8	0	0
55089	2	0	0
47324	6.1.1.9	0	0
47324	6	0	0
47324	6.1.1.16	0	0
47324	6.1.1.5	0	0
47324	6.1.1	0	0
47324	6.3.1.13	0.000239	0
47324	6.1.1.10	0	0
47324	6.1.1.4	0	0
47324	6.3.1	0.9667	0
47324	6.1	0	0
47324	6.3	1	0
47324	6.1.1.19	0	0
111188	2.7.4	0.0001124	0
111188	2.7.1.151	0	0
111188	2.7.4.21	0	0
111188	2.7	0	0
111188	2	0	0
111188	2.7.1	2.739e-05	0
111188	2.7.1.127	0	0
52103	2	1	0
52103	3.1.2.4	0	0
52103	1	0	0
